,src,dst,id,importance,explainer,edge_btw
408,21,42,2,1.75,0.11027469,0.039684547
398,19,42,2,1.75,0.10270542,0.026067413
397,43,42,2,1.75,0.09869967,0.026067413
405,10,42,2,1.75,0.122729726,0.019589359
377,47,31,2,1.75,0.12776677,0.018730026
400,47,42,2,1.75,0.12753224,0.018730026
379,54,31,2,1.75,0.12530853,0.018730026
372,27,31,2,1.75,0.1213107,0.018730026
369,41,31,2,1.75,0.115122855,0.018730026
384,13,31,2,1.75,0.113672644,0.018730026
395,27,42,2,1.75,0.1134888,0.018730026
399,58,42,2,1.75,0.11125128,0.018730026
376,58,31,2,1.75,0.111161605,0.018730026
402,54,42,2,1.75,0.11045639,0.018730026
380,5,31,2,1.75,0.110177346,0.018730026
392,41,42,2,1.75,0.10970005,0.018730026
403,5,42,2,1.75,0.107866295,0.018730026
407,13,42,2,1.75,0.09855866,0.018730026
409,60,42,2,1.75,0.12559834,0.013772331
413,16,42,2,1.75,0.118473336,0.013772331
411,57,42,2,1.75,0.103311464,0.013772331
412,59,42,2,1.75,0.10193664,0.013772331
370,25,31,2,1.75,0.36154765,0
383,28,31,2,1.75,0.122962445,0
387,38,31,2,1.75,0.11591013,0
371,61,31,2,1.75,0.1140135,0
375,19,31,2,1.75,0.11134445,0
390,16,31,2,1.75,0.10736795,0
382,10,31,2,1.75,0.105524905,0
374,43,31,2,1.75,0.10531983,0
385,21,31,2,1.75,0.10270019,0
388,57,31,2,1.75,0.10251506,0
389,59,31,2,1.75,0.10184853,0
386,60,31,2,1.75,0.10088794,0
360,41,55,2,1,0.09978469,0.019434162
420,61,15,2,1,0.09767108,0.01480698
414,23,42,2,1,0.118580356,0.013772331
421,10,15,2,1,0.12145161,0.013749339
361,27,55,2,1,0.11398502,0
363,58,55,2,1,0.11258363,0
367,20,55,2,1,0.11070573,0
365,54,55,2,1,0.11055168,0
366,5,55,2,1,0.109633565,0
364,47,55,2,1,0.10814587,0
368,13,55,2,1,0.10697009,0
391,23,31,2,1,0.106397845,0
432,38,9,2,0.75,0.110852,0.149127446
417,25,0,2,0.75,0.8214946,0.079323109
465,28,51,2,0.75,0.31377232,0.053939714
467,21,48,2,0.75,0.120476246,0.053939714
463,20,30,2,0.75,0.11461599,0.053939714
422,61,26,2,0.75,0.103831016,0.053939714
415,25,33,2,0.75,0.4221176,0.016129032
416,28,33,2,0.75,0.30930117,0.015600212
441,43,17,2,0.75,0.96218425,0.013881544
443,43,52,2,0.75,0.11073317,0.013881544
442,19,17,2,0.75,0.108547226,0.013881544
444,19,52,2,0.75,0.107443735,0.013881544
362,12,55,2,0.25,0,0
430,45,9,2,0,0,0.063590693
431,1,9,2,0,0,0.063590693
435,12,11,2,0,0,0.035078442
437,12,29,2,0,0,0.035078442
439,12,8,2,0,0,0.035078442
424,45,36,2,0,0,0.013881544
426,45,56,2,0,0,0.013881544
427,1,56,2,0,0,0.013881544
428,45,4,2,0,0,0.013881544
429,1,4,2,0,0,0.013881544
438,44,29,2,0,0,0.009695047
440,44,8,2,0,0,0.009695047
445,22,39,2,0,0,0.001586462
451,22,32,2,0,0,0.001586462
452,37,32,2,0,0,0.001586462
453,50,32,2,0,0,0.001586462
454,24,32,2,0,0,0.001586462
455,14,32,2,0,0,0.001586462
456,3,32,2,0,0,0.001586462
457,22,35,2,0,0,0.001586462
458,37,35,2,0,0,0.001586462
459,50,35,2,0,0,0.001586462
460,24,35,2,0,0,0.001586462
461,14,35,2,0,0,0.001586462
